Time,Temperature,Humidity,CPU
Time,Temperature,Humidity,CPU
 17:16:28,79.2,34.2,39.7
 17:16:29,79.2,34.2,38.6
 17:16:31,79.0,34.2,39.7
 17:16:32,79.0,34.2,39.7
 17:16:33,78.8,34.2,39.2
 17:16:35,78.8,34.2,39.7
 17:16:36,78.8,34.3,39.2
 17:16:37,78.8,34.3,39.7
 17:16:39,78.8,34.1,39.7
 17:16:40,78.8,34.1,39.7
 17:16:42,78.6,34.4,39.7
 17:16:43,78.6,34.4,39.7
 17:16:44,78.8,34.4,39.7
 17:16:46,78.8,34.4,39.7
 17:16:47,78.6,34.4,40.8
 17:16:48,78.6,34.4,40.2
 17:16:50,78.6,34.5,40.8
 17:16:51,78.6,34.5,40.2
 17:16:53,78.6,34.3,39.7
 17:16:54,78.6,34.3,40.8
 17:16:55,78.4,34.6,40.8
 17:16:57,78.4,34.6,40.8
 17:16:58,78.4,34.6,40.8
 17:16:59,78.4,34.6,41.3
 17:17:01,78.4,34.6,41.3
 17:17:02,78.4,34.6,40.8
 17:17:04,78.4,34.7,40.8
 17:17:05,78.4,34.7,40.8
 17:17:06,78.3,34.7,41.3
 17:17:07,78.3,34.7,41.3
 17:17:09,78.3,34.8,41.3
 17:17:10,78.3,34.8,41.9
 17:17:12,78.1,34.6,40.8
 17:17:13,78.1,34.6,41.3
 17:17:15,78.3,34.7,41.9
 17:17:16,78.3,34.7,41.9
 17:17:17,77.9,34.8,41.9
 17:17:18,77.9,34.8,41.3
 17:17:20,77.9,34.8,41.9
 17:17:21,77.9,34.8,41.9
 17:17:23,77.9,34.9,41.9
 17:17:24,77.9,34.9,42.4
 17:17:25,77.9,34.9,41.9
 17:17:27,77.9,34.9,42.4
 17:17:28,77.9,35.0,42.4
 17:17:29,77.9,35.0,42.9
 17:17:31,77.7,35.0,41.9
 17:17:32,77.7,35.0,42.9
 17:17:34,77.7,35.1,42.4
 17:17:35,77.7,35.1,42.9
 17:17:36,77.7,35.1,42.9
 17:17:38,77.7,35.1,42.4
 17:17:39,77.7,35.2,41.9
 17:17:40,77.7,35.2,42.9
 17:17:42,77.7,35.4,41.9
 17:17:43,77.7,35.4,42.9
 17:17:45,77.4,35.3,41.9
 17:17:46,77.4,35.3,42.9
 17:17:47,77.4,35.4,42.4
 17:17:49,77.4,35.4,42.4
 17:17:50,77.5,35.5,42.9
 17:17:51,77.5,35.5,42.9
 17:17:53,77.4,35.3,42.9
 17:17:54,77.4,35.3,42.9
 17:17:56,77.4,35.4,42.4
 17:17:57,77.4,35.4,42.9
 17:17:58,77.2,35.4,42.9
 17:18:00,77.2,35.4,42.9
 17:18:01,77.2,35.5,42.9
 17:18:02,77.2,35.5,42.9
 17:18:04,77.0,35.5,42.9
 17:18:05,77.0,35.5,42.9
 17:18:07,77.2,35.6,42.9
 17:18:08,77.2,35.6,42.9
 17:18:09,77.0,35.9,44.0
 17:18:10,77.0,35.9,43.5
 17:18:12,77.0,35.8,42.9
 17:18:13,77.0,35.8,42.9
