Time,Temperature,Humidity,CPU
 16:43:27,72.0,39.8,45.6
 16:43:28,72.0,39.8,46.2
 16:43:29,72.1,39.7,45.1
 16:43:31,72.1,39.7,45.6
 16:43:32,72.1,39.8,45.6
 16:43:34,72.1,39.8,45.1
 16:43:35,72.0,39.7,46.2
 16:43:36,72.0,39.7,45.1
 16:43:38,72.0,39.8,45.1
 16:43:39,72.0,39.8,46.2
 16:43:41,72.0,40.0,45.1
 16:43:42,72.0,40.0,45.6
 16:43:43,72.1,40.4,45.6
 16:43:45,72.1,40.4,45.6
 16:43:46,72.0,40.3,46.2
 16:43:47,72.0,40.3,46.2
 16:43:49,72.1,40.1,46.2
 16:43:50,72.1,40.1,45.1
 16:43:52,72.0,40.0,46.2
 16:43:53,72.0,40.0,45.6
 16:43:54,72.0,40.0,46.2
 16:43:56,72.0,40.0,45.1
 16:43:57,72.0,40.0,46.2
 16:43:58,72.0,40.0,46.2
 16:44:00,72.1,39.8,45.1
 16:44:01,72.1,39.8,45.1
 16:44:03,72.0,39.9,46.2
 16:44:04,72.0,39.9,46.2
 16:44:05,72.0,40.0,46.2
 16:44:06,72.0,40.0,45.6
 16:44:08,72.0,39.9,45.6
 16:44:09,72.0,39.9,45.6
 16:44:11,72.1,40.1,45.6
 16:44:12,72.1,40.1,45.1
 16:44:13,72.0,39.9,45.1
 16:44:15,72.0,39.9,45.6
 16:44:16,72.0,39.8,45.1
 16:44:17,72.0,39.8,46.2
 16:44:19,72.0,39.7,45.6
 16:44:20,72.0,39.7,45.6
 16:44:22,72.0,39.7,46.2
 16:44:23,72.0,39.7,45.6
 16:44:24,72.0,39.8,46.2
 16:44:26,72.0,39.8,45.6
 16:44:27,72.0,39.9,45.6
 16:44:28,72.0,39.9,46.2
 16:44:30,72.0,39.7,46.2
 16:44:31,72.0,39.7,46.2
 16:44:33,72.0,39.6,45.6
 16:44:34,72.0,39.6,45.6
 16:44:35,72.1,39.4,46.2
 16:44:37,72.1,39.4,45.6
 16:44:38,72.0,39.4,46.2
 16:44:39,72.0,39.4,45.6
 16:44:41,72.0,39.3,45.1
 16:44:42,72.0,39.3,46.2
 16:44:44,71.8,39.3,46.2
 16:44:45,71.8,39.3,46.2
 16:44:47,72.0,39.4,45.6
 16:44:48,72.0,39.4,46.2
 16:44:49,72.1,39.1,45.6
 16:44:51,72.1,39.1,46.2
 16:44:52,72.1,39.2,46.2
 16:44:53,72.1,39.2,46.2
 16:44:55,72.0,39.4,46.2
 16:44:56,72.0,39.4,46.2
 16:44:58,72.0,39.4,46.2
 16:44:59,72.0,39.4,45.6
 16:45:00,72.0,39.3,45.6
 16:45:01,72.0,39.3,46.2
 16:45:03,72.0,39.4,46.2
 16:45:04,72.0,39.4,46.7
 16:45:06,72.0,39.2,46.2
 16:45:07,72.0,39.2,46.2
 16:45:08,72.1,39.4,46.2
 16:45:10,72.1,39.4,46.2
 16:45:11,72.0,39.4,46.2
 16:45:12,72.0,39.4,46.2
 16:45:14,72.0,39.4,46.2
 16:45:15,72.0,39.4,46.2
 16:45:17,72.0,39.2,46.2
 16:45:18,72.0,39.2,46.2
 16:45:19,71.8,39.1,46.2
 16:45:21,71.8,39.1,46.2
 16:45:22,72.0,39.2,46.2
 16:45:23,72.0,39.2,46.2
 16:45:25,72.0,39.2,46.2
 16:45:26,72.0,39.2,46.7
 16:45:28,72.0,39.0,45.6
 16:45:29,72.0,39.0,46.2
 16:45:30,72.0,39.1,46.2
 16:45:32,72.0,39.1,46.2
 16:45:33,72.1,39.0,46.2
 16:45:34,72.1,39.0,46.2
 16:45:36,72.0,39.1,46.2
 16:45:37,72.0,39.1,46.2
 16:45:39,72.0,39.1,46.2
 16:45:40,72.0,39.1,46.2
 16:45:41,72.0,39.2,46.2
 16:45:43,72.0,39.2,46.2
 16:45:44,72.0,39.1,47.2
 16:45:45,72.0,39.1,46.2
 16:45:47,72.0,39.0,46.7
 16:45:48,72.0,39.0,47.2
 16:45:50,72.0,39.0,46.2
 16:45:51,72.0,39.0,46.7
 16:45:52,72.0,38.9,46.7
 16:45:53,72.0,38.9,46.7
 16:45:55,72.0,39.2,46.2
 16:45:56,72.0,39.2,46.2
 16:45:58,71.8,39.0,46.2
 16:45:59,71.8,39.0,46.7
 16:46:01,71.8,39.1,46.2
 16:46:02,71.8,39.1,46.7
 16:46:03,72.0,38.9,45.6
 16:46:04,72.0,38.9,47.2
 16:46:06,72.0,39.1,46.2
 16:46:07,72.0,39.1,47.2
 16:46:09,72.0,39.2,46.7
 16:46:10,72.0,39.2,46.7
 16:46:11,72.0,39.1,46.2
 16:46:13,72.0,39.1,46.7
 16:46:14,72.0,39.2,46.2
 16:46:15,72.0,39.2,46.2
 16:46:17,72.0,39.0,47.2
 16:46:18,72.0,39.0,46.7
 16:46:20,72.1,39.0,47.2
 16:46:21,72.1,39.0,47.2
 16:46:22,71.8,39.1,46.2
 16:46:24,71.8,39.1,46.7
 16:46:25,71.8,39.1,46.2
 16:46:26,71.8,39.1,46.2
 16:46:28,72.0,39.2,47.2
 16:46:29,72.0,39.2,46.7
 16:46:31,72.0,39.2,47.2
 16:46:32,72.0,39.2,47.2
 16:46:33,72.0,39.3,46.7
 16:46:35,72.0,39.3,46.2
 16:46:36,72.0,39.5,46.7
 16:46:37,72.0,39.5,46.7
 16:46:39,71.8,39.5,47.2
 16:46:40,71.8,39.5,46.7
 16:46:42,72.0,39.6,46.7
 16:46:43,72.0,39.6,47.8
 16:46:44,72.0,39.7,46.2
 16:46:45,72.0,39.7,47.2
 16:46:47,72.0,39.7,47.2
 16:46:48,72.0,39.7,46.2
 16:46:50,71.8,39.6,46.2
 16:46:51,71.8,39.6,47.2
 16:46:53,72.0,39.6,46.2
 16:46:54,72.0,39.6,47.2
 16:46:55,71.8,39.5,46.2
 16:46:56,71.8,39.5,46.2
