Time,Temperature,Humidity,UV,UVI,Ambient,Lux,CPU
 18:54:36,77.4,35.8,1,0.04173913043478261,85,68.0,52.6
 18:54:37,77.4,35.8,1,0.04173913043478261,85,68.0,52.1
 18:54:39,77.0,36.0,1,0.04173913043478261,85,68.0,51.5
 18:54:40,77.0,36.0,1,0.04173913043478261,85,68.0,52.1
