Time,Temperature,Humidity,Ultraviolet,Ambient,CPU
 18:50:26,77.5,35.6,0,91,52.6
 18:50:27,77.5,35.6,1,9,52.6
 18:50:29,77.5,35.8,1,8,52.1
 18:50:30,77.5,35.8,1,8,52.1
 18:50:31,77.5,35.5,1,43,52.1
Time,Temperature,Humidity,Ultraviolet,Ambient,CPU
 18:50:51,77.5,35.8,1,52,52.6
 18:50:53,77.5,35.8,1,21,52.6
 18:50:54,77.5,35.8,1,34,52.6
 18:50:55,77.5,35.8,1,41,52.6
 18:50:57,77.5,35.8,1,57,52.6
 18:50:58,77.5,35.8,0,126,52.6
 18:50:59,77.2,36.4,1,14,52.6
 18:51:01,77.2,36.4,0,149,52.6
 18:51:02,77.5,36.0,0,147,52.1
 18:51:03,77.5,36.0,0,155,52.1
 18:51:05,77.4,36.0,0,164,52.6
 18:51:06,77.4,36.0,0,164,52.6
 18:51:08,77.4,35.9,0,162,52.6
 18:51:09,77.4,35.9,0,165,52.6
 18:51:10,77.4,35.6,0,164,52.6
 18:51:11,77.4,35.6,0,164,52.6
 18:51:13,77.4,35.9,0,164,52.1
 18:51:14,77.4,35.9,0,162,52.6
 18:51:16,77.4,35.8,0,162,52.6
 18:51:17,77.4,35.8,0,162,52.6
 18:51:18,77.4,35.8,0,163,52.6
 18:51:19,77.4,35.8,0,164,52.1
 18:51:21,77.4,35.7,0,525,52.6
 18:51:22,77.4,35.7,1,2453,52.6
 18:51:24,77.4,35.7,1,5363,52.6
 18:51:25,77.4,35.7,0,16641,52.6
 18:51:26,77.4,35.5,1,536,52.6
 18:51:27,77.4,35.5,1,14269,53.2
 18:51:29,77.4,35.8,1,15071,52.6
 18:51:30,77.4,35.8,0,173,52.6
 18:51:32,77.4,35.4,0,160,52.6
 18:51:33,77.4,35.4,0,160,52.6
 18:51:34,77.2,35.4,0,161,52.1
 18:51:36,77.2,35.4,0,136,52.6
 18:51:37,77.4,35.7,1,89,52.1
 18:51:38,77.4,35.7,1,90,52.6
 18:51:40,77.2,36.0,1,90,52.6
 18:51:41,77.2,36.0,1,90,52.6
 18:51:42,77.4,36.1,1,91,52.6
 18:51:44,77.4,36.1,1,91,52.6
 18:51:45,77.2,35.8,1,91,52.6
 18:51:46,77.2,35.8,1,92,52.6
 18:51:48,77.2,35.9,1,89,52.6
 18:51:49,77.2,35.9,1,90,53.2
