Time,Temperature,Humidity,CPU
 17:21:07,77.2,36.3,48.9
 17:21:09,77.2,36.3,48.3
 17:21:10,77.5,36.0,47.8
 17:21:11,77.5,36.0,47.2
 17:21:13,77.4,36.0,47.8
 17:21:14,77.4,36.0,47.2
 17:21:16,77.5,36.0,47.2
 17:21:17,77.5,36.0,47.2
 17:21:18,77.5,35.9,47.2
 17:21:20,77.5,35.9,47.2
 17:21:21,77.4,35.8,47.2
 17:21:22,77.4,35.8,47.2
 17:21:24,77.5,36.1,47.2
 17:21:25,77.5,36.1,47.2
 17:21:27,77.5,35.9,47.2
 17:21:28,77.5,35.9,47.2
 17:21:29,77.5,35.9,47.2
 17:21:31,77.5,35.9,47.2
 17:21:32,77.5,35.9,47.2
 17:21:33,77.5,35.9,47.2
 17:21:35,77.5,35.7,46.2
 17:21:36,77.5,35.7,47.2
 17:21:38,77.5,35.7,47.2
 17:21:39,77.5,35.7,48.3
 17:21:40,77.7,35.5,48.3
 17:21:41,77.7,35.5,47.8
 17:21:43,77.7,35.7,47.8
 17:21:44,77.7,35.7,47.2
 17:21:46,77.5,35.7,47.8
 17:21:47,77.5,35.7,47.2
 17:21:49,77.7,35.6,47.2
 17:21:50,77.7,35.6,47.8
 17:21:51,77.7,35.7,47.2
 17:21:52,77.7,35.7,47.2
 17:21:54,77.7,35.5,47.2
 17:21:55,77.7,35.5,47.2
 17:21:57,77.7,35.6,47.2
 17:21:58,77.7,35.6,47.8
 17:21:59,77.9,35.6,47.8
 17:22:01,77.9,35.6,47.8
 17:22:02,77.7,35.6,48.3
 17:22:03,77.7,35.6,47.8
 17:22:05,77.7,35.5,47.2
 17:22:06,77.7,35.5,47.8
 17:22:08,77.9,35.6,47.8
 17:22:09,77.9,35.6,48.3
 17:22:10,77.9,35.5,47.2
 17:22:12,77.9,35.5,48.3
 17:22:13,77.9,35.5,48.3
 17:22:14,77.9,35.5,48.3
 17:22:16,77.9,35.7,47.2
 17:22:17,77.9,35.7,47.8
 17:22:19,77.9,35.7,47.8
 17:22:20,77.9,35.7,47.8
 17:22:21,77.9,35.7,47.2
 17:22:23,77.9,35.7,47.8
 17:22:24,77.9,35.6,48.3
 17:22:25,77.9,35.6,48.3
 17:22:27,77.9,35.6,47.2
 17:22:28,77.9,35.6,47.8
