Time,Temperature,Humidity,CPU
 17:26:43,78.3,35.1,49.9
 17:26:44,78.3,35.1,49.4
 17:26:45,78.3,35.1,48.9
 17:26:46,78.3,35.1,49.4
 17:26:48,78.1,35.3,49.4
 17:26:49,78.1,35.3,49.4
 17:26:51,78.3,35.2,48.9
 17:26:52,78.3,35.2,49.4
 17:26:53,78.3,35.3,48.9
 17:26:55,78.3,35.3,49.4
 17:26:56,78.3,35.1,49.4
 17:26:57,78.3,35.1,49.4
 17:26:59,78.3,35.1,49.4
 17:27:00,78.3,35.1,48.9
 17:27:02,78.3,35.0,49.4
 17:27:03,78.3,35.0,49.4
 17:27:04,78.3,35.0,49.4
 17:27:06,78.3,35.0,49.4
 17:27:07,78.3,35.1,49.4
 17:27:08,78.3,35.1,49.4
 17:27:10,78.4,35.1,48.9
 17:27:11,78.4,35.1,49.4
 17:27:13,78.4,35.1,49.4
 17:27:14,78.4,35.1,49.4
 17:27:15,78.4,35.2,49.4
 17:27:17,78.4,35.2,49.4
 17:27:18,78.3,35.0,49.4
 17:27:19,78.3,35.0,49.4
 17:27:21,78.1,36.9,48.9
 17:27:22,78.1,36.9,48.9
 17:27:24,78.3,36.7,48.3
 17:27:25,78.3,36.7,49.4
 17:27:26,78.3,36.0,49.4
 17:27:28,78.3,36.0,49.4
 17:27:29,78.3,35.9,49.4
