Time,Temperature,Humidity,CPU
 13:55:01,78.6,48.0,58.0
 13:55:02,78.6,48.0,57.5
 13:55:03,78.8,47.9,58.0
 13:55:05,78.8,47.9,58.0
 13:55:06,78.6,48.1,56.9
 13:55:07,78.6,48.1,58.0
 13:55:09,78.6,48.0,57.5
 13:55:10,78.6,48.0,56.9
 13:55:12,78.6,48.1,58.0
 13:55:13,78.6,48.1,58.0
 13:55:14,78.4,48.1,58.0
 13:55:16,78.4,48.1,58.0
 13:55:17,78.6,48.0,56.9
 13:55:18,78.6,48.0,57.5
 13:55:20,78.4,48.2,56.9
 13:55:21,78.4,48.2,56.9
 13:55:23,78.8,48.3,58.0
 13:55:24,78.8,48.3,56.9
 13:55:25,78.6,48.2,57.5
 13:55:26,78.6,48.2,58.0
 13:55:28,78.6,48.4,58.0
 13:55:29,78.6,48.4,56.9
 13:55:31,78.4,48.4,56.9
 13:55:32,78.4,48.4,58.0
 13:55:34,78.6,48.3,56.9
 13:55:35,78.6,48.3,58.0
 13:55:36,78.8,48.5,57.5
 13:55:37,78.8,48.5,58.0
 13:55:39,78.6,48.4,58.0
 13:55:40,78.6,48.4,57.5
 13:55:42,78.6,48.2,57.5
 13:55:43,78.6,48.2,58.0
 13:55:44,78.6,48.3,58.0
 13:55:46,78.6,48.3,57.5
 13:55:47,78.6,48.2,58.0
 13:55:48,78.6,48.2,57.5
 13:55:50,78.6,48.1,58.0
 13:55:51,78.6,48.1,56.9
 13:55:53,78.6,48.1,56.9
 13:55:54,78.6,48.1,57.5
 13:55:55,78.8,48.3,57.5
 13:55:57,78.8,48.3,57.5
 13:55:58,78.8,48.3,56.9
 13:55:59,78.8,48.3,57.5
 13:56:01,78.8,48.1,56.9
 13:56:02,78.8,48.1,57.5
 13:56:04,78.6,48.2,57.5
 13:56:05,78.6,48.2,57.5
 13:56:06,78.8,48.3,56.9
 13:56:08,78.8,48.3,56.9
 13:56:09,78.8,48.0,56.9
 13:56:10,78.8,48.0,58.0
 13:56:12,78.8,48.2,58.0
 13:56:13,78.8,48.2,58.0
 13:56:15,78.6,48.1,58.0
 13:56:16,78.6,48.1,57.5
 13:56:17,78.8,48.1,57.5
 13:56:19,78.8,48.1,58.0
 13:56:20,78.6,48.1,57.5
 13:56:21,78.6,48.1,58.0
 13:56:23,78.6,48.1,57.5
 13:56:24,78.6,48.1,58.0
 13:56:26,78.8,48.1,56.9
 13:56:27,78.8,48.1,57.5
 13:56:28,78.8,48.2,56.9
 13:56:29,78.8,48.2,58.0
 13:56:31,78.8,48.0,57.5
 13:56:32,78.8,48.0,58.0
 13:56:34,78.8,48.0,57.5
 13:56:35,78.8,48.0,57.5
 13:56:36,78.8,48.0,58.0
 13:56:38,78.8,48.0,58.0
 13:56:39,78.8,48.1,57.5
 13:56:40,78.8,48.1,57.5
 13:56:42,78.6,47.9,57.5
 13:56:43,78.6,47.9,57.5
 13:56:45,78.6,48.0,56.9
 13:56:46,78.6,48.0,58.0
 13:56:47,78.8,48.0,56.9
 13:56:49,78.8,48.0,58.0
 13:56:50,78.8,47.9,56.9
 13:56:51,78.8,47.9,58.0
 13:56:53,78.8,48.0,57.5
 13:56:54,78.8,48.0,57.5
 13:56:56,78.6,47.9,56.9
 13:56:57,78.6,47.9,58.0
 13:56:58,78.8,47.9,57.5
 13:57:00,78.8,47.9,58.0
 13:57:01,78.8,48.2,57.5
 13:57:02,78.8,48.2,58.0
 13:57:04,78.8,48.0,56.9
 13:57:05,78.8,48.0,57.5
 13:57:07,78.8,48.0,57.5
 13:57:08,78.8,48.0,58.0
 13:57:09,78.8,48.1,57.5
 13:57:10,78.8,48.1,58.0
 13:57:12,78.8,47.9,57.5
 13:57:13,78.8,47.9,58.0
 13:57:15,78.8,48.0,56.9
 13:57:16,78.8,48.0,58.0
 13:57:18,78.8,48.1,57.5
 13:57:19,78.8,48.1,57.5
 13:57:20,78.8,48.0,56.9
 13:57:21,78.8,48.0,58.0
 13:57:23,78.6,48.2,58.0
 13:57:24,78.6,48.2,58.0
 13:57:26,78.6,48.1,56.9
 13:57:27,78.6,48.1,58.0
