Time,Temperature (F),Humidity,UV,Ultraviolet Radiation Index,Ambient Light,Lux,CPU
 14:17:25,94.6,25.9,150,6.260869565217392,65535,52428.0,70.9
 14:17:28,94.5,25.8,147,6.135652173913043,65535,52428.0,69.8
 14:17:30,94.1,25.4,154,6.38608695652174,65535,52428.0,70.4
 14:17:33,94.5,25.4,153,6.4278260869565225,65535,52428.0,69.8
 14:17:35,94.6,25.4,154,6.38608695652174,65535,52428.0,70.4
 14:17:38,94.5,25.2,157,6.55304347826087,65535,52428.0,69.8
 14:17:41,94.6,25.2,156,6.511304347826087,65535,52428.0,69.3
 14:17:43,94.6,25.1,156,6.55304347826087,65535,52428.0,69.8
 14:17:46,94.6,24.7,154,6.511304347826087,65535,52428.0,69.3
 14:17:48,94.5,24.3,156,6.511304347826087,65535,52428.0,69.8
 14:17:51,94.6,24.3,154,6.4278260869565225,65535,52428.0,69.8
 14:17:53,94.5,24.1,153,6.38608695652174,65535,52428.0,69.3
 14:17:56,94.5,24.0,154,6.4278260869565225,65535,52428.0,69.8
 14:17:58,94.5,24.0,154,6.4278260869565225,65535,52428.0,69.8
 14:18:01,94.1,24.0,154,6.511304347826087,65535,52428.0,69.3
 14:18:03,93.6,24.2,154,6.4278260869565225,65535,52428.0,69.8
 14:18:06,93.4,24.8,154,6.511304347826087,65535,52428.0,69.8
 14:18:08,93.4,24.6,156,6.55304347826087,65535,52428.0,69.8
 14:18:11,93.2,25.2,157,6.636521739130435,65535,52428.0,69.3
 14:18:14,92.8,25.7,159,6.636521739130435,65535,52428.0,69.3
 14:18:16,92.8,25.8,159,6.636521739130435,65535,52428.0,69.8
 14:18:19,92.3,26.0,160,6.636521739130435,65535,52428.0,69.3
 14:18:21,92.1,25.3,159,6.55304347826087,65535,52428.0,69.3
 14:18:24,91.8,24.9,157,6.55304347826087,65535,52428.0,69.3
 14:18:26,91.9,25.1,157,6.55304347826087,65535,52428.0,68.8
 14:18:29,91.2,26.1,157,6.55304347826087,65535,52428.0,68.8
 14:18:31,91.4,26.8,156,6.511304347826087,65535,52428.0,69.3
 14:18:34,91.6,26.2,157,6.55304347826087,65535,52428.0,68.8
 14:18:36,91.9,25.9,159,6.636521739130435,65535,52428.0,68.8
 14:18:39,92.1,25.8,159,6.636521739130435,65535,52428.0,69.3
 14:18:42,91.8,25.9,156,6.511304347826087,65535,52428.0,68.8
 14:18:44,91.4,25.5,153,6.38608695652174,65535,52428.0,68.8
 14:18:47,91.6,25.4,152,6.344347826086957,65535,52428.0,68.8
 14:18:49,91.6,25.6,152,6.344347826086957,65535,52428.0,68.8
 14:18:52,91.6,25.9,150,6.260869565217392,65535,52428.0,69.3
 14:18:54,91.8,26.5,147,6.135652173913043,65535,52428.0,68.8
 14:18:57,91.6,26.5,147,6.219130434782609,65535,52428.0,68.2
 14:18:59,91.4,26.6,149,6.219130434782609,65535,52428.0,68.8
 14:19:02,91.6,26.0,150,6.260869565217392,65535,52428.0,67.7
 14:19:04,91.6,26.1,147,6.135652173913043,65535,52428.0,68.8
 14:19:07,91.2,26.0,147,6.093913043478262,65535,52428.0,68.2
 14:19:10,91.0,26.0,150,6.260869565217392,65535,52428.0,67.7
 14:19:12,91.2,26.4,149,6.260869565217392,65535,52428.0,68.2
 14:19:15,91.6,26.0,150,6.260869565217392,65535,52428.0,67.7
 14:19:17,91.8,26.1,152,6.260869565217392,65535,52428.0,68.2
 14:19:20,91.8,26.1,157,6.55304347826087,65535,52428.0,68.2
 14:19:22,91.6,25.6,156,6.636521739130435,65535,52428.0,68.2
 14:19:25,91.6,25.4,157,6.55304347826087,65535,52428.0,68.2
 14:19:27,91.2,25.9,157,6.511304347826087,65535,52428.0,68.2
 14:19:30,90.9,26.0,157,6.636521739130435,65535,52428.0,67.7
 14:19:32,90.9,25.9,159,6.55304347826087,65535,52428.0,67.7
 14:19:35,90.9,25.9,157,6.55304347826087,65535,52428.0,67.7
 14:19:38,90.7,26.0,157,6.55304347826087,65535,52428.0,67.7
 14:19:40,90.7,26.5,157,6.55304347826087,65535,52428.0,67.1
 14:19:43,90.7,27.1,157,6.55304347826087,65535,52428.0,67.7
 14:19:45,90.5,27.6,156,6.4278260869565225,65535,52428.0,67.1
 14:19:48,90.0,26.9,153,6.38608695652174,65535,52428.0,67.7
 14:19:50,90.5,27.0,152,6.38608695652174,65535,52428.0,67.1
 14:19:53,90.5,26.5,153,6.4278260869565225,65535,52428.0,67.1
 14:19:55,90.7,26.7,156,6.511304347826087,65535,52428.0,67.1
 14:19:58,90.7,27.0,150,6.260869565217392,65535,52428.0,67.7
 14:20:00,90.9,27.2,147,6.135652173913043,65535,52428.0,67.7
 14:20:03,90.7,26.3,147,6.135652173913043,65535,52428.0,66.6
 14:20:05,90.3,26.0,150,6.260869565217392,65535,52428.0,67.1
 14:20:08,90.5,26.2,147,6.135652173913043,65535,52428.0,67.7
 14:20:11,90.7,26.1,146,6.093913043478262,65535,52428.0,67.1
 14:20:13,90.9,25.8,146,6.135652173913043,65535,52428.0,67.1
 14:20:16,90.9,25.8,147,6.135652173913043,65535,52428.0,67.7
 14:20:18,91.0,26.2,149,6.135652173913043,65535,52428.0,67.7
 14:20:21,91.0,26.5,152,6.344347826086957,65535,52428.0,66.6
 14:20:23,91.0,26.4,150,6.260869565217392,65535,52428.0,66.6
 14:20:26,91.2,26.7,152,6.260869565217392,65535,52428.0,67.1
 14:20:28,91.2,26.5,150,6.344347826086957,65535,52428.0,67.7
 14:20:31,90.9,26.2,152,6.38608695652174,65535,52428.0,67.1
 14:20:33,90.9,26.1,152,6.260869565217392,65535,52428.0,67.7
 14:20:36,90.7,26.2,150,6.344347826086957,65535,52428.0,67.1
 14:20:39,90.3,26.6,153,6.4278260869565225,65535,52428.0,66.6
 14:20:41,89.8,27.6,154,6.511304347826087,65535,52428.0,66.6
 14:20:44,89.4,27.3,154,6.4278260869565225,65535,52428.0,66.6
 14:20:46,89.6,26.6,154,6.38608695652174,65535,52428.0,66.6
 14:20:49,89.6,26.9,153,6.344347826086957,65535,52428.0,66.6
 14:20:51,89.4,27.6,149,6.219130434782609,65535,52428.0,67.1
 14:20:54,89.6,27.5,149,6.260869565217392,65535,52428.0,66.6
 14:20:56,89.4,27.1,150,6.219130434782609,65535,52428.0,66.6
 14:20:59,89.6,26.7,147,6.135652173913043,65535,52428.0,66.6
 14:21:01,89.6,26.7,147,6.219130434782609,65535,52428.0,66.6
 14:21:04,89.8,26.3,150,6.219130434782609,65535,52428.0,65.5
 14:21:06,90.0,26.5,152,6.344347826086957,65535,52428.0,66.6
 14:21:09,90.1,26.6,156,6.511304347826087,65535,52428.0,66.6
 14:21:12,90.3,26.4,159,6.511304347826087,65535,52428.0,66.6
 14:21:14,90.3,26.5,157,6.55304347826087,65535,52428.0,66.6
 14:21:17,90.3,26.2,162,6.678260869565218,65535,52428.0,67.7
 14:21:19,90.7,26.6,157,6.636521739130435,65535,52428.0,66.6
